img, model, prior_probs, predicted_probs, predicted_class, actual_class, pixel_count
102,resnet,"[1.2704927e-11 2.0047477e-08 2.4713895e-09 3.7700421e-10 1.6809927e-11
 1.2616516e-08 1.0000000e+00 1.0120113e-08 1.7954561e-10 1.2674323e-09]","[1.3655870e-08 5.0785911e-05 3.0725256e-05 2.0096608e-07 6.4951274e-07
 5.8697903e-01 4.1231838e-01 6.1287230e-04 2.9404572e-07 7.0881038e-06]",dog,frog,1
108,lenet,"[3.3825514e-04 2.0044176e-03 2.7276457e-05 4.9595565e-07 1.2632283e-08
 1.9350243e-07 4.3130819e-07 2.3119885e-07 9.9761260e-01 1.6044640e-05]","[2.3907343e-02 5.0827539e-01 1.3971323e-02 4.9674647e-05 2.7416834e-05
 1.1652254e-05 2.0946344e-04 4.3405290e-04 4.4598216e-01 7.1315370e-03]",automobile,ship,3
3155,lenet,"[7.6316679e-03 2.4452736e-05 9.6289201e-05 2.5235518e-05 4.2248928e-05
 5.8461728e-06 1.8515175e-05 3.5268586e-06 9.9211699e-01 3.5239926e-05]","[7.80209839e-01 2.06022043e-04 3.07168718e-03 1.02946840e-04
 5.26977470e-04 5.66754607e-05 1.06202264e-04 7.13327972e-05
 2.15315431e-01 3.32845986e-04]",airplane,ship,1
7871,lenet,"[9.9182749e-01 4.7613226e-05 1.4614150e-03 9.7554491e-04 3.0943321e-04
 1.3117918e-03 1.1311350e-03 1.5888530e-03 7.4819232e-05 1.2719567e-03]","[0.6348118  0.01117138 0.00212436 0.00154115 0.00080848 0.00217572
 0.00490413 0.00457474 0.0023677  0.33552045]",airplane,airplane,1
7200,lenet,"[2.2116397e-05 2.4032869e-07 9.7021282e-02 6.2852646e-03 8.9533335e-01
 4.5702291e-05 1.2918885e-03 9.7983801e-08 1.5135232e-08 5.8724691e-08]","[5.5726068e-05 8.5940940e-07 4.8566782e-01 2.5260955e-02 4.6574780e-01
 1.0453413e-04 2.3161376e-02 3.3532476e-07 1.3740456e-07 4.8889746e-07]",bird,deer,1
8253,lenet,"[9.7237967e-02 6.3391570e-07 8.9804310e-01 1.1303761e-03 1.8221220e-03
 2.7864007e-04 1.3074339e-03 1.4551995e-04 2.1123644e-05 1.3061097e-05]","[5.0443792e-01 3.5856531e-06 4.8064446e-01 2.5632277e-03 6.0425643e-03
 5.8008387e-04 5.0064670e-03 5.0214957e-04 1.3843740e-04 8.1087594e-05]",airplane,bird,1
8282,lenet,"[4.2314747e-05 9.9936372e-01 4.0995067e-07 6.1054948e-08 1.7312641e-07
 2.8478433e-09 4.9785075e-07 3.2727016e-08 3.7479211e-05 5.5535528e-04]","[2.3592450e-02 9.6423143e-01 5.6189264e-04 2.1598787e-05 2.8757405e-04
 1.4617027e-06 5.3449046e-05 5.2521329e-05 9.7337301e-04 1.0224275e-02]",automobile,automobile,1
830,lenet,"[2.7655467e-01 4.3091485e-01 1.8852691e-03 4.8688616e-04 1.8782925e-04
 2.0583297e-04 2.2282898e-03 1.2290788e-02 5.5600568e-03 2.6968548e-01]","[5.0902867e-01 1.1843948e-01 1.9544566e-03 3.6002247e-04 3.1893727e-04
 2.2715364e-04 1.8934907e-03 2.5056031e-02 3.1361510e-03 3.3958554e-01]",airplane,automobile,1
7948,lenet,"[8.1564485e-06 9.9260771e-01 1.0956517e-06 2.2879810e-06 2.1366216e-07
 4.2846102e-07 8.8129273e-06 1.8863058e-06 6.0139904e-05 7.3093618e-03]","[2.1851038e-04 7.9629582e-01 3.9518116e-05 5.6545632e-05 5.7794646e-06
 1.2168866e-05 4.7989102e-05 1.9936710e-05 9.2343253e-04 2.0238023e-01]",automobile,automobile,1
6508,lenet,"[9.9769408e-01 8.8920606e-06 2.0834589e-03 6.9209877e-05 1.7605626e-05
 4.1663989e-07 1.8335348e-05 5.1293518e-06 2.1144589e-05 8.1745384e-05]","[9.8201835e-01 8.8000388e-06 1.7184515e-02 3.1609403e-04 1.2081980e-04
 4.7476997e-06 3.8320781e-05 3.3260414e-05 1.0584290e-04 1.6925200e-04]",airplane,airplane,1
